noun,2016_rating_all,2016_std_all,2016_rating_m,2016_std_m,2016_rating_f,2016_std_f,kt_rating.f,kt_sd.f,kt_rating.m,kt_sd.m,kt_rating_all,kt_sd_all
athlete,4.73,1.01,4.77,1.05,4.69,0.98,4.65,-1.04,5.2,-1.15,4.93,-1.09
attorney,4.67,0.96,4.98,0.9,4.36,0.93,4.25,-0.79,4.5,-0.95,4.38,-0.87
auctioneer,5.28,1.16,5.25,1.24,5.31,1.09,5.55,-0.89,5.8,-1.24,5.67,-1.06
author,4.09,0.55,4.25,0.65,3.93,0.34,3.9,-0.31,3.95,-0.6,3.92,-0.45
automechanic,5.86,1.24,5.59,1.45,6.14,0.9,6.45,-0.83,6.6,-0.6,6.53,-0.71
aviator,5.07,1.19,4.98,1.23,5.17,1.15,5.6,-0.88,5.4,-1.14,5.5,-1.01
baby,3.78,0.89,3.8,0.79,3.76,0.98,3.85,-0.75,3.95,-0.51,3.9,-0.63
babysitter,2.29,1.13,2.52,1.27,2.05,0.91,1.85,-0.93,1.95,-0.89,1.9,-0.91
baker,3.49,1.3,3.7,1.25,3.26,1.33,3.3,-1.13,3.65,-1.42,3.47,-1.27
ballerina,1.74,1.23,2.09,1.44,1.38,0.82,1.5,-0.76,1.65,-0.67,1.57,-0.72
balletdancer,2.16,1.24,2.2,1.42,2.12,1.04,1.6,-0.88,1.45,-0.6,1.52,-0.74
banker,4.7,1.21,4.55,1.27,4.86,1.14,4.65,-0.93,5.3,-1.13,4.97,-1.03
bankteller,3.31,1.21,3.57,1.19,3.05,1.19,3.1,-1.37,2.9,-1.62,3.0,-1.5
barber,5.94,1.11,5.7,1.23,6.19,0.92,6.35,-0.75,6.3,-0.86,6.32,-0.8
barista,2.94,1.35,3.14,1.19,2.74,1.48,NA,NA,NA,NA,NA,NA
bartender,4.88,1.06,4.82,0.99,4.95,1.13,4.75,-1.33,5.4,-1.23,5.08,-1.28
baseballplayer,6.02,1.1,5.75,1.14,6.31,0.98,6.2,-0.89,6.6,-0.6,6.4,-0.74
basketballplayer,5.45,1.29,5.27,1.34,5.64,1.23,4.85,-0.99,5.25,-1.25,5.05,-1.12
batontwirler,2.21,1.44,2.5,1.53,1.9,1.28,1.5,-0.61,1.3,-0.47,1.4,-0.54
beautician,1.8,1.04,2.02,1.23,1.57,0.74,1.55,-0.51,1.85,-0.88,1.7,-0.7
believer,4.01,0.99,4.39,0.81,3.62,1.01,NA,NA,NA,NA,NA,NA
bellboy,6.07,1.23,5.57,1.44,6.6,0.63,6.45,-0.76,6.65,-0.49,6.55,-0.62
bellhop,5.48,1.11,5.05,1.08,5.93,0.97,5.85,-1.14,5.45,-1.32,5.65,-1.23
biker,5.12,1.19,5.16,1.2,5.07,1.2,5.35,-0.99,4.9,-1.02,5.12,-1.0
bingoplayer,3.23,1.34,3.16,1.4,3.31,1.3,3.4,-0.82,3.05,-1.0,3.22,-0.91
birdowner,3.56,0.98,3.7,1.0,3.4,0.94,3.6,-1.27,3.1,-1.02,3.35,-1.15
blogger,3.78,0.99,4.07,0.79,3.48,1.09,NA,NA,NA,NA,NA,NA
